DecayParticle1_Name DecayParticle1_isBoson DecayParticle1_mass DecayParticle1_E DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle2_Name DecayParticle2_isBoson DecayParticle2_mass DecayParticle2_E DecayParticle2_px DecayParticle2_py DecayParticle2_pz
b_quark 0 4.18 151.223 45 -99 105 b_quark 0 4.18 238.626 -40 182 -149
W+ 1 80.4 177.891 -68 -134 51 W- 1 80.4 96.2713 36 38 8
W+ 1 80.4 139.518 90 -70 1 W- 1 80.4 181.847 -38 158 -14
b_quark 0 4.18 150.188 -97 -97 61 b_quark 0 4.18 76.7494 29 54 -46
b_quark 0 4.18 141.009 -16 101 97 b_quark 0 4.18 226.096 -9 -114 -195
W+ 1 80.4 136.25 -92 -6 -60 W- 1 80.4 230.066 184 99 53
b_quark 0 4.18 75.7527 -64 20 -35 b_quark 0 4.18 120.981 83 29 83
b_quark 0 4.18 185.536 -59 138 109 b_quark 0 4.18 229.651 147 -117 -132
b_quark 0 4.18 149.37 78 -69 -107 b_quark 0 4.18 125.748 -41 85 83
W+ 1 80.4 213.537 -49 138 133 W- 1 80.4 251.048 49 -96 -212
b_quark 0 4.18 82.295 -55 47 39 b_quark 0 4.18 145.349 6 -97 -108
b_quark 0 4.18 167.058 -121 5 115 b_quark 0 4.18 259.481 214 -66 -131
b_quark 0 4.18 136.783 118 12 -68 b_quark 0 4.18 96.9921 -89 38 5
b_quark 0 4.18 75.2295 1 4 75 b_quark 0 4.18 150.504 -71 -77 -108
tau+ 0 1.78 159.224 -12 -142 71 tau- 0 1.78 272.716 -21 213 -169
tau+ 0 1.78 201.465 129 -138 70 tau- 0 1.78 204.054 -153 125 -51
b_quark 0 4.18 94.7812 -3 -74 59 b_quark 0 4.18 176.172 19 173 27
W+ 1 80.4 154.807 -74 108 -19 W- 1 80.4 224.573 2 -198 -69
W+ 1 80.4 165.258 -113 -74 51 W- 1 80.4 220.13 82 162 -95
b_quark 0 4.18 143.984 39 107 88 b_quark 0 4.18 261.386 -33 -204 -160
tau+ 0 1.78 114.814 -55 -77 -65 tau- 0 1.78 195.492 18 177 81
b_quark 0 4.18 221.421 96 -145 137 b_quark 0 4.18 188.782 -36 119 -142
b_quark 0 4.18 188.458 131 47 -127 b_quark 0 4.18 145.621 -128 50 48
b_quark 0 4.18 159.823 -129 -7 -94 b_quark 0 4.18 232.016 107 -86 187
W+ 1 80.4 210.096 -62 126 -134 W- 1 80.4 144.16 29 -111 34
b_quark 0 4.18 95.5378 26 -75 -53 b_quark 0 4.18 75.6536 65 -16 -35
W+ 1 80.4 211.37 120 -58 143 W- 1 80.4 226.418 -170 -5 -126
b_quark 0 4.18 164.251 -119 16 112 b_quark 0 4.18 255.138 219 -91 -94
b_quark 0 4.18 156.082 108 62 -94 b_quark 0 4.18 197.389 -60 -1 188
Z 1 91.2 149.273 115 -22 -16 Z 1 91.2 209.729 -188 17 6
W+ 1 80.4 125.001 -90 10 31 W- 1 80.4 92.2939 13 -43 6
b_quark 0 4.18 121.78 77 28 90 b_quark 0 4.18 179.737 -172 0 -52
b_quark 0 4.18 213.763 126 -140 101 b_quark 0 4.18 234.377 -31 223 -65
W+ 1 80.4 207.57 99 78 -144 W- 1 80.4 246.897 -65 -70 213
b_quark 0 4.18 118.455 -19 102 57 b_quark 0 4.18 164.056 39 -124 -100
W+ 1 80.4 219.969 149 20 -139 W- 1 80.4 246.857 -211 47 88
b_quark 0 4.18 143.706 17 32 139 b_quark 0 4.18 100.217 -61 68 -41
b_quark 0 4.18 186.05 -80 -126 111 b_quark 0 4.18 217.556 16 169 -136
b_quark 0 4.18 95.6006 75 -19 56 b_quark 0 4.18 122.741 -112 -50 -2
b_quark 0 4.18 149.487 -142 46 -7 b_quark 0 4.18 157.326 143 -21 62
b_quark 0 4.18 150.142 -45 30 -140 b_quark 0 4.18 178.993 127 4 126
W+ 1 80.4 178.194 79 -138 2 W- 1 80.4 173.159 -100 76 -88
b_quark 0 4.18 182.284 135 117 36 b_quark 0 4.18 211.413 -99 -181 46
W+ 1 80.4 116.194 50 64 -21 W- 1 80.4 95.6983 49 17 -2
b_quark 0 4.18 85.437 -72 -37 -27 b_quark 0 4.18 129.52 -2 127 -25
W+ 1 80.4 167.869 -36 -98 104 W- 1 80.4 261.429 121 194 -98
b_quark 0 4.18 173.564 -5 141 -101 b_quark 0 4.18 82.2282 -52 -62 14
b_quark 0 4.18 237.795 126 138 -147 b_quark 0 4.18 169.595 -102 -110 79
b_quark 0 4.18 190.91 124 133 58 b_quark 0 4.18 225.999 -197 -60 -93
b_quark 0 4.18 177.289 -111 -18 137 b_quark 0 4.18 127.399 25 -72 -102
W+ 1 80.4 94.4148 11 -5 48 W- 1 80.4 167.135 -91 -33 -110
Z 1 91.2 165.742 54 -66 -109 Z 1 91.2 219.437 -27 109 165
b_quark 0 4.18 166.344 -126 104 -31 b_quark 0 4.18 140.341 114 -81 11
b_quark 0 4.18 170.55 115 98 79 b_quark 0 4.18 103.065 -61 -80 -22
